game,polarity,subjectivity,prediction
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,0
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,1
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,0
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,0
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,2
chess,0.0,0.0,3
valorant,0.0,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,0
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,2
chess,0.0,0.0,3
valorant,0.0,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.0,0.0,3
chess,0.0,0.0,3
valorant,0.5,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,0
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,2
chess,0.0,0.0,3
valorant,0.0,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.0,0.0,3
chess,0.0,0.0,3
valorant,0.5,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,4
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,4
chess,0.0,0.0,3
valorant,0.0,1.0,2
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.0,0.0,3
chess,0.0,0.0,3
valorant,0.5,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,4
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,4
chess,0.0,0.0,3
valorant,0.0,1.0,2
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.0,0.0,3
chess,0.0,0.0,3
valorant,0.5,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,4
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,4
chess,0.0,0.0,3
valorant,0.0,1.0,2
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.0,0.0,3
chess,0.0,0.0,3
valorant,0.5,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.35,0.65,4
chess,0.0,0.0,3
valorant,0.2625,0.7374999999999999,4
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,-0.5,1.0,2
Just%20Chatting,0.2074074074074074,0.5037037037037038,4
chess,0.0,0.0,3
valorant,0.0,1.0,2
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,3
Just%20Chatting,0.0,0.0,3
chess,0.0,0.0,3
valorant,0.5,1.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,3
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
fortnite,0.0,0.0,0
Just%20Chatting,0.1139610389610389,0.6217532467532468,0
chess,0.0,0.0,0
valorant,0.2666666666666667,0.5111111111111111,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.0,0.0,0
chess,0.0,0.0,0
valorant,0.0,0.0,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,-0.2759259259259259,0.6106481481481482,0
chess,0.0,0.0,0
valorant,0.1833333333333333,0.3833333333333333,0
Counter-Strike%3A%20Global%20Offensive,0.0,0.0,0
fortnite,0.0,0.0,0
Just%20Chatting,0.5,0.9166666666666669,0
chess,0.0,0.0,0
valorant,-0.1555555555555555,0.2888888888888889,0
fortnite,0.0,0.0,0
